ds,y
05/01/1988,100.0
06/01/1988,103.4
07/01/1988,107.0
08/01/1988,109.3
09/01/1988,110.0
10/01/1988,110.4
11/01/1988,110.5
12/01/1988,110.7
01/01/1989,112.6
02/01/1989,114.2
03/01/1989,117.4
04/01/1989,119.9
05/01/1989,122.3
06/01/1989,125.9
07/01/1989,126.8
08/01/1989,128.5
09/01/1989,131.1
10/01/1989,133.7
11/01/1989,135.7
12/01/1989,138.6
01/01/1990,139.3
02/01/1990,141.5
03/01/1990,142.7
04/01/1990,143.1
05/01/1990,144.4
06/01/1990,145.4
07/01/1990,146.4
08/01/1990,146.8
09/01/1990,146.8
10/01/1990,147.2
11/01/1990,148.2
12/01/1990,148.6
01/01/1991,149.5
02/01/1991,150.0
03/01/1991,150.3
04/01/1991,151.0
05/01/1991,152.8
06/01/1991,154.9
07/01/1991,156.0
08/01/1991,157.2
09/01/1991,158.1
10/01/1991,159.3
11/01/1991,160.0
12/01/1991,159.8
01/01/1992,160.2
02/01/1992,160.4
03/01/1992,160.6
04/01/1992,160.6
05/01/1992,160.5
06/01/1992,161.1
07/01/1992,161.4
08/01/1992,161.4
09/01/1992,161.3
10/01/1992,161.4
11/01/1992,161.4
12/01/1992,162.2
01/01/1993,164.1
02/01/1993,165.3
03/01/1993,165.4
04/01/1993,165.9
05/01/1993,166.3
06/01/1993,166.2
07/01/1993,167.7
08/01/1993,169.2
09/01/1993,169.8
10/01/1993,170.8
11/01/1993,170.8
12/01/1993,169.9
01/01/1994,169.3
02/01/1994,169.5
03/01/1994,169.7
04/01/1994,169.9
05/01/1994,169.9
06/01/1994,170.1
07/01/1994,170.4
08/01/1994,170.5
09/01/1994,171.0
10/01/1994,170.8
11/01/1994,170.7
12/01/1994,170.8
01/01/1995,172.1
02/01/1995,172.3
03/01/1995,172.0
04/01/1995,171.8
05/01/1995,172.1
06/01/1995,172.3
07/01/1995,172.8
08/01/1995,173.5
09/01/1995,174.1
10/01/1995,174.9
11/01/1995,174.3
12/01/1995,174.2
01/01/1996,174.9
02/01/1996,175.2
03/01/1996,175.5
04/01/1996,175.8
05/01/1996,176.9
06/01/1996,176.7
07/01/1996,176.9
08/01/1996,178.0
09/01/1996,178.4
10/01/1996,178.5
11/01/1996,178.6
12/01/1996,177.8
01/01/1997,178.4
02/01/1997,178.5
03/01/1997,178.4
04/01/1997,179.7
05/01/1997,179.4
06/01/1997,179.8
07/01/1997,180.1
08/01/1997,180.6
09/01/1997,181.3
10/01/1997,181.9
11/01/1997,181.7
12/01/1997,181.4
01/01/1998,182.4
02/01/1998,182.0
03/01/1998,182.7
04/01/1998,183.1
05/01/1998,183.7
06/01/1998,184.0
07/01/1998,183.6
08/01/1998,182.6
09/01/1998,182.8
10/01/1998,183.6
11/01/1998,184.1
12/01/1998,183.7
01/01/1999,184.8
02/01/1999,184.5
03/01/1999,185.4
04/01/1999,186.4
05/01/1999,187.3
06/01/1999,188.8
07/01/1999,189.5
08/01/1999,190.2
09/01/1999,191.8
10/01/1999,193.3
11/01/1999,193.3
12/01/1999,194.0
01/01/2000,195.5
02/01/2000,194.9
03/01/2000,196.4
04/01/2000,197.6
05/01/2000,198.4
06/01/2000,199.1
07/01/2000,200.1
08/01/2000,199.1
09/01/2000,199.5
10/01/2000,201.5
11/01/2000,202.1
12/01/2000,202.1
01/01/2001,202.4
02/01/2001,202.8
03/01/2001,204.0
04/01/2001,206.5
05/01/2001,209.4
06/01/2001,212.6
07/01/2001,214.2
08/01/2001,214.9
09/01/2001,216.3
10/01/2001,217.7
11/01/2001,218.5
12/01/2001,219.5
01/01/2002,221.5
02/01/2002,220.9
03/01/2002,221.8
04/01/2002,221.9
05/01/2002,221.8
06/01/2002,222.8
07/01/2002,223.0
08/01/2002,221.8
09/01/2002,222.9
10/01/2002,224.1
11/01/2002,223.7
12/01/2002,223.9
01/01/2003,224.7
02/01/2003,224.3
03/01/2003,226.7
04/01/2003,227.0
05/01/2003,226.6
06/01/2003,226.8
07/01/2003,226.5
08/01/2003,226.3
09/01/2003,227.9
10/01/2003,229.0
11/01/2003,229.3
12/01/2003,230.0
01/01/2004,230.1
02/01/2004,229.4
03/01/2004,230.7
04/01/2004,232.0
05/01/2004,233.9
06/01/2004,235.7
07/01/2004,234.6
08/01/2004,234.6
09/01/2004,235.6
10/01/2004,237.4
11/01/2004,237.9
12/01/2004,239.0
01/01/2005,239.2
02/01/2005,239.7
03/01/2005,241.5
04/01/2005,242.0
05/01/2005,240.7
06/01/2005,242.4
07/01/2005,242.7
08/01/2005,243.2
09/01/2005,246.9
10/01/2005,248.4
11/01/2005,248.0
12/01/2005,248.9
01/01/2006,249.7
02/01/2006,249.5
03/01/2006,252.3
04/01/2006,255.2
05/01/2006,258.9
06/01/2006,261.9
07/01/2006,263.1
08/01/2006,264.0
09/01/2006,265.6
10/01/2006,266.2
11/01/2006,266.1
12/01/2006,266.2
01/01/2007,266.9
02/01/2007,268.0
03/01/2007,267.1
04/01/2007,268.7
05/01/2007,271.0
06/01/2007,272.4
07/01/2007,273.0
08/01/2007,273.1
09/01/2007,276.7
10/01/2007,278.1
11/01/2007,279.9
12/01/2007,281.8
01/01/2008,282.3
02/01/2008,286.2
03/01/2008,290.4
04/01/2008,300.3
05/01/2008,304.4
06/01/2008,307.1
07/01/2008,310.0
08/01/2008,312.8
09/01/2008,315.5
10/01/2008,322.3
11/01/2008,327.9
12/01/2008,332.9
01/01/2009,334.8
02/01/2009,336.5
03/01/2009,334.5
04/01/2009,336.0
05/01/2009,339.8
06/01/2009,344.5
07/01/2009,345.1
08/01/2009,346.9
09/01/2009,349.6
10/01/2009,353.6
11/01/2009,356.2
12/01/2009,357.9
01/01/2010,356.8
02/01/2010,360.9
03/01/2010,362.9
04/01/2010,363.8
05/01/2010,365.3
06/01/2010,364.1
07/01/2010,361.7
08/01/2010,362.6
09/01/2010,362.6
10/01/2010,365.3
11/01/2010,365.5
12/01/2010,366.7
01/01/2011,363.4
02/01/2011,367.7
03/01/2011,371.2
04/01/2011,374.1
05/01/2011,377.6
06/01/2011,379.5
07/01/2011,379.9
08/01/2011,380.9
09/01/2011,383.3
10/01/2011,384.6
11/01/2011,384.6
12/01/2011,386.0
01/01/2012,387.1
02/01/2012,391.0
03/01/2012,395.1
04/01/2012,398.2
05/01/2012,398.1
06/01/2012,400.1
07/01/2012,397.2
08/01/2012,396.6
09/01/2012,399.6
10/01/2012,400.7
11/01/2012,402.0
12/01/2012,402.2
01/01/2013,403.3
02/01/2013,409.9
03/01/2013,410.7
04/01/2013,411.5
05/01/2013,411.3
06/01/2013,413.5
07/01/2013,412.4
08/01/2013,413.8
09/01/2013,415.2
10/01/2013,415.2
11/01/2013,416.7
12/01/2013,418.9
01/01/2014,415.9
02/01/2014,418.7
03/01/2014,419.7
04/01/2014,421.0
05/01/2014,421.3
06/01/2014,422.8
07/01/2014,422.1
08/01/2014,423.1
09/01/2014,422.6
10/01/2014,423.2
11/01/2014,421.0
12/01/2014,422.3
01/01/2015,419.3
02/01/2015,422.1
03/01/2015,426.4
04/01/2015,427.0
05/01/2015,428.2
06/01/2015,429.3
07/01/2015,430.0
08/01/2015,432.3
09/01/2015,430.6
10/01/2015,430.9
11/01/2015,429.4
12/01/2015,430.8
01/01/2016,428.3
02/01/2016,431.2
03/01/2016,432.8
04/01/2016,433.7
05/01/2016,435.5
06/01/2016,436.3
07/01/2016,434.9
08/01/2016,436.4
09/01/2016,438.5
10/01/2016,438.5
11/01/2016,438.4
12/01/2016,439.0
01/01/2017,436.5
02/01/2017,439.6
03/01/2017,439.9
04/01/2017,442.1
05/01/2017,443.0
06/01/2017,443.0
07/01/2017,442.9
08/01/2017,444.0
09/01/2017,444.6
10/01/2017,446.7
11/01/2017,446.0
12/01/2017,447.2
01/01/2018,446.8
02/01/2018,449.5
03/01/2018,452.0
04/01/2018,452.2
05/01/2018,451.8
06/01/2018,454.6
07/01/2018,454.8
08/01/2018,455.7
09/01/2018,456.8
10/01/2018,459.4
11/01/2018,460.5
12/01/2018,463.9
01/01/2019,462.0
02/01/2019,462.9
03/01/2019,465.3
04/01/2019,467.0
05/01/2019,468.0
06/01/2019,469.8
07/01/2019,468.8
08/01/2019,470.1
09/01/2019,470.5
10/01/2019,472.2
11/01/2019,472.8
12/01/2019,473.3
01/01/2020,469.8
02/01/2020,474.1
03/01/2020,475.2
04/01/2020,477.5
05/01/2020,480.1
06/01/2020,482.2
07/01/2020,482.9
08/01/2020,485.1
09/01/2020,487.0
10/01/2020,489.1
11/01/2020,489.3
12/01/2020,490.3
01/01/2021,490.0
02/01/2021,493.4
03/01/2021,495.8
04/01/2021,499.3
