ds,y
06/01/1988,3.80%
07/01/1988,2.60%
08/01/1988,2.07%
09/01/1988,0.83%
10/01/1988,0.46%
11/01/1988,0.27%
12/01/1988,0.45%
01/01/1989,2.16%
02/01/1989,1.32%
03/01/1989,2.87%
04/01/1989,2.12%
05/01/1989,2.07%
06/01/1989,3.09%
07/01/1989,0.79%
08/01/1989,1.72%
09/01/1989,2.15%
10/01/1989,1.58%
11/01/1989,1.33%
12/01/1989,2.19%
01/01/1990,0.29%
02/01/1990,1.14%
03/01/1990,0.71%
04/01/1990,0.42%
05/01/1990,1.12%
06/01/1990,0.76%
07/01/1990,0.75%
08/01/1990,0.82%
09/01/1990,-0.07%
10/01/1990,0.47%
11/01/1990,0.87%
12/01/1990,0.27%
01/01/1991,0.66%
02/01/1991,0.33%
03/01/1991,0.39%
04/01/1991,0.26%
05/01/1991,1.17%
06/01/1991,0.84%
07/01/1991,0.51%
08/01/1991,0.70%
09/01/1991,0.57%
10/01/1991,0.82%
11/01/1991,0.44%
12/01/1991,-0.06%
01/01/1992,0.31%
02/01/1992,0.19%
03/01/1992,0.25%
04/01/1992,0.06%
05/01/1992,0.18%
06/01/1992,0.43%
07/01/1992,0.24%
08/01/1992,0.06%
09/01/1992,0.00%
10/01/1992,0.06%
11/01/1992,0.00%
12/01/1992,0.61%
01/01/1993,1.33%
02/01/1993,0.78%
03/01/1993,0.12%
04/01/1993,0.30%
05/01/1993,0.30%
06/01/1993,-0.12%
07/01/1993,1.06%
08/01/1993,0.93%
09/01/1993,0.29%
10/01/1993,0.81%
11/01/1993,0.06%
12/01/1993,-0.34%
01/01/1994,-0.40%
02/01/1994,0.12%
03/01/1994,0.12%
04/01/1994,0.12%
05/01/1994,-0.23%
06/01/1994,0.12%
07/01/1994,0.17%
08/01/1994,0.11%
09/01/1994,0.40%
10/01/1994,-0.23%
11/01/1994,-0.11%
12/01/1994,-0.06%
01/01/1995,0.52%
02/01/1995,0.17%
03/01/1995,-0.23%
04/01/1995,0.06%
05/01/1995,0.23%
06/01/1995,0.11%
07/01/1995,0.34%
08/01/1995,0.45%
09/01/1995,0.39%
10/01/1995,0.56%
11/01/1995,-0.45%
12/01/1995,0.00%
01/01/1996,0.51%
02/01/1996,0.34%
03/01/1996,0.22%
04/01/1996,0.11%
05/01/1996,0.67%
06/01/1996,-0.11%
07/01/1996,0.17%
08/01/1996,0.55%
09/01/1996,0.05%
10/01/1996,0.05%
11/01/1996,0.00%
12/01/1996,-0.38%
01/01/1997,0.22%
02/01/1997,0.11%
03/01/1997,0.00%
04/01/1997,0.77%
05/01/1997,-0.22%
06/01/1997,0.11%
07/01/1997,0.16%
08/01/1997,0.27%
09/01/1997,0.43%
10/01/1997,0.43%
11/01/1997,-0.16%
12/01/1997,-0.11%
01/01/1998,0.27%
02/01/1998,-0.16%
03/01/1998,0.32%
04/01/1998,-0.05%
05/01/1998,0.38%
06/01/1998,0.16%
07/01/1998,-0.37%
08/01/1998,-0.64%
09/01/1998,0.11%
