ds,y
4/29/19,733
4/30/19,657
5/1/19,651
5/2/19,665
5/3/19,645
5/4/19,593
5/5/19,771
5/6/19,755
5/7/19,720
5/8/19,706
5/9/19,685
5/10/19,631
5/11/19,656
5/12/19,765
5/13/19,726
5/14/19,704
5/15/19,625
5/16/19,646
5/17/19,611
5/18/19,626
5/19/19,808
5/20/19,770
5/21/19,781
5/22/19,685
5/23/19,665
5/24/19,634
5/25/19,702
5/26/19,740
5/27/19,789
5/28/19,740
5/29/19,701
5/30/19,666
5/31/19,643
6/1/19,559
6/2/19,662
6/3/19,799
6/4/19,780
6/5/19,716
6/6/19,712
6/7/19,600
6/8/19,652
6/9/19,732
6/10/19,837
6/11/19,813
6/12/19,814
6/13/19,707
6/14/19,678
6/15/19,726
6/16/19,816
6/17/19,829
6/18/19,792
6/19/19,762
6/20/19,777
6/21/19,732
6/22/19,655
6/23/19,832
6/24/19,874
6/25/19,869
6/26/19,820
6/27/19,689
6/28/19,696
6/29/19,656
6/30/19,814
7/1/19,884
7/2/19,845
7/3/19,844
7/4/19,815
7/5/19,727
7/6/19,732
7/7/19,874
7/8/19,874
7/9/19,815
7/10/19,798
7/11/19,751
7/12/19,812
7/13/19,830
7/14/19,"1,078"
7/15/19,"1,119"
7/16/19,"1,117"
7/17/19,"1,040"
7/18/19,902
7/19/19,755
7/20/19,714
7/21/19,808
7/22/19,891
7/23/19,913
7/24/19,802
7/25/19,658
7/26/19,639
7/27/19,643
7/28/19,797
7/29/19,788
7/30/19,828
7/31/19,812
8/1/19,795
8/2/19,737
8/3/19,703
8/4/19,958
8/5/19,914
8/6/19,"1,013"
8/7/19,890
8/8/19,898
8/9/19,787
8/10/19,734
8/11/19,914
8/12/19,962
8/13/19,893
8/14/19,880
8/15/19,847
8/16/19,829
8/17/19,680
8/18/19,823
8/19/19,866
8/20/19,910
8/21/19,859
8/22/19,806
8/23/19,722
8/24/19,660
8/25/19,763
8/26/19,842
8/27/19,844
8/28/19,773
8/29/19,684
8/30/19,672
8/31/19,640
9/1/19,714
9/2/19,848
9/3/19,724
9/4/19,850
9/5/19,728
9/6/19,743
9/7/19,652
9/8/19,777
9/9/19,841
9/10/19,788
9/11/19,774
9/12/19,680
9/13/19,652
9/14/19,633
9/15/19,721
9/16/19,796
9/17/19,830
9/18/19,735
9/19/19,687
9/20/19,644
9/21/19,635
9/22/19,725
9/23/19,818
9/24/19,773
9/25/19,694
9/26/19,653
9/27/19,612
9/28/19,577
9/29/19,791
9/30/19,717
10/1/19,748
10/2/19,674
10/3/19,663
10/4/19,682
10/5/19,607
10/6/19,711
10/7/19,738
10/8/19,708
10/9/19,664
10/10/19,632
10/11/19,606
10/12/19,604
10/13/19,703
10/14/19,744
10/15/19,711
10/16/19,675
10/17/19,723
10/18/19,580
10/19/19,486
10/20/19,634
10/21/19,685
10/22/19,694
10/23/19,664
10/24/19,649
10/25/19,615
10/26/19,520
10/27/19,635
10/28/19,673
10/29/19,637
10/30/19,576
10/31/19,566
11/1/19,514
11/2/19,513
11/3/19,631
11/4/19,669
11/5/19,588
11/6/19,588
11/7/19,585
11/8/19,522
11/9/19,548
11/10/19,702
11/11/19,699
11/12/19,654
11/13/19,626
11/14/19,582
11/15/19,520
11/16/19,508
11/17/19,593
11/18/19,591
11/19/19,520
11/20/19,548
11/21/19,558
11/22/19,517
11/23/19,427
11/24/19,577
11/25/19,568
11/26/19,571
11/27/19,501
11/28/19,589
11/29/19,586
11/30/19,475
12/1/19,579
12/2/19,650
12/3/19,546
12/4/19,477
12/5/19,440
12/6/19,431
12/7/19,452
12/8/19,565
12/9/19,586
