date,value
2019-04-29,733
2019-04-30,657
2019-05-01,651
2019-05-02,665
2019-05-03,645
2019-05-04,593
2019-05-05,771
2019-05-06,755
2019-05-07,720
2019-05-08,706
2019-05-09,685
2019-05-10,631
2019-05-11,656
2019-05-12,765
2019-05-13,726
2019-05-14,704
2019-05-15,625
2019-05-16,646
2019-05-17,611
2019-05-18,626
2019-05-19,808
2019-05-20,770
2019-05-21,781
2019-05-22,685
2019-05-23,665
2019-05-24,634
2019-05-25,702
2019-05-26,740
2019-05-27,789
2019-05-28,740
2019-05-29,701
2019-05-30,666
2019-05-31,643
2019-06-01,559
2019-06-02,662
2019-06-03,799
2019-06-04,780
2019-06-05,716
2019-06-06,712
2019-06-07,600
2019-06-08,652
2019-06-09,732
2019-06-10,837
2019-06-11,813
2019-06-12,814
2019-06-13,707
2019-06-14,678
2019-06-15,726
2019-06-16,816
2019-06-17,829
2019-06-18,792
2019-06-19,762
2019-06-20,777
2019-06-21,732
2019-06-22,655
2019-06-23,832
2019-06-24,874
2019-06-25,869
2019-06-26,820
2019-06-27,689
2019-06-28,696
2019-06-29,656
2019-06-30,814
2019-07-01,884
2019-07-02,845
2019-07-03,844
2019-07-04,815
2019-07-05,727
2019-07-06,732
2019-07-07,874
2019-07-08,874
2019-07-09,815
2019-07-10,798
2019-07-11,751
2019-07-12,812
2019-07-13,830
2019-07-14,1078
2019-07-15,1119
2019-07-16,1117
2019-07-17,1040
2019-07-18,902
2019-07-19,755
2019-07-20,714
2019-07-21,808
2019-07-22,891
2019-07-23,913
2019-07-24,802
2019-07-25,658
2019-07-26,639
2019-07-27,643
2019-07-28,797
2019-07-29,788
2019-07-30,828
2019-07-31,812
2019-08-01,795
2019-08-02,737
2019-08-03,703
2019-08-04,958
2019-08-05,914
2019-08-06,1013
2019-08-07,890
2019-08-08,898
2019-08-09,787
2019-08-10,734
2019-08-11,914
2019-08-12,962
2019-08-13,893
2019-08-14,880
2019-08-15,847
2019-08-16,829
2019-08-17,680
2019-08-18,823
2019-08-19,866
2019-08-20,910
2019-08-21,859
2019-08-22,806
2019-08-23,722
2019-08-24,660
2019-08-25,763
2019-08-26,842
2019-08-27,844
2019-08-28,773
2019-08-29,684
2019-08-30,672
2019-08-31,640
2019-09-01,714
2019-09-02,848
2019-09-03,724
2019-09-04,850
2019-09-05,728
2019-09-06,743
2019-09-07,652
2019-09-08,777
2019-09-09,841
2019-09-10,788
2019-09-11,774
2019-09-12,680
2019-09-13,652
2019-09-14,633
2019-09-15,721
2019-09-16,796
2019-09-17,830
2019-09-18,735
2019-09-19,687
2019-09-20,644
2019-09-21,635
2019-09-22,725
2019-09-23,818
2019-09-24,773
2019-09-25,694
2019-09-26,653
2019-09-27,612
2019-09-28,577
2019-09-29,791
2019-09-30,717
2019-10-01,748
2019-10-02,674
2019-10-03,663
2019-10-04,682
2019-10-05,607
2019-10-06,711
2019-10-07,738
2019-10-08,708
2019-10-09,664
2019-10-10,632
2019-10-11,606
2019-10-12,604
2019-10-13,703
2019-10-14,744
2019-10-15,711
2019-10-16,675
2019-10-17,723
2019-10-18,580
2019-10-19,486
2019-10-20,634
2019-10-21,685
2019-10-22,694
2019-10-23,664
2019-10-24,649
2019-10-25,615
2019-10-26,520
2019-10-27,635
2019-10-28,673
2019-10-29,637
2019-10-30,576
2019-10-31,566
2019-11-01,514
2019-11-02,513
2019-11-03,631
2019-11-04,669
2019-11-05,588
2019-11-06,588
2019-11-07,585
2019-11-08,522
2019-11-09,548
2019-11-10,702
2019-11-11,699
2019-11-12,654
2019-11-13,626
2019-11-14,582
2019-11-15,520
2019-11-16,508
2019-11-17,593
2019-11-18,591
2019-11-19,520
2019-11-20,548
2019-11-21,558
2019-11-22,517
2019-11-23,427
2019-11-24,577
2019-11-25,568
2019-11-26,571
2019-11-27,501
2019-11-28,589
2019-11-29,586
2019-11-30,475
2019-12-01,579
2019-12-02,650
2019-12-03,546
2019-12-04,477
2019-12-05,440
2019-12-06,431
2019-12-07,452
2019-12-08,565
2019-12-09,586
2019-12-10,514
2019-12-11,508
2019-12-12,514
2019-12-13,407
2019-12-14,390
2019-12-15,487
2019-12-16,520
2019-12-17,471
2019-12-18,429
2019-12-19,428
2019-12-20,414
2019-12-21,348
2019-12-22,426
2019-12-23,469
2019-12-24,325
2019-12-25,422
2019-12-26,560
2019-12-27,582
2019-12-28,487
2019-12-29,575
2019-12-30,612
2019-12-31,692
2020-01-01,473
2020-01-02,638
2020-01-03,644
2020-01-04,640
2020-01-05,783
2020-01-06,750
2020-01-07,802
2020-01-08,764
2020-01-09,755
2020-01-10,718
2020-01-11,723
2020-01-12,863
2020-01-13,919
2020-01-14,798
2020-01-15,786
2020-01-16,770
2020-01-17,703
2020-01-18,675
2020-01-19,955
2020-01-20,994
2020-01-21,878
2020-01-22,780
2020-01-23,732
2020-01-24,661
2020-01-25,687
2020-01-26,849
2020-01-27,863
2020-01-28,778
2020-01-29,746
2020-01-30,708
2020-01-31,641
2020-02-01,673
2020-02-02,884
2020-02-03,746
2020-02-04,754
2020-02-05,740
2020-02-06,724
2020-02-07,625
2020-02-08,740
2020-02-09,872
2020-02-10,870
2020-02-11,738
2020-02-12,769
2020-02-13,791
2020-02-14,629
2020-02-15,731
2020-02-16,948
2020-02-17,832
2020-02-18,756
2020-02-19,749
2020-02-20,771
2020-02-21,686
2020-02-22,703
2020-02-23,902
2020-02-24,866
2020-02-25,773
2020-02-26,714
2020-02-27,705
2020-02-28,664
2020-02-29,637
2020-03-01,797
2020-03-02,709
2020-03-03,717
2020-03-04,651
2020-03-05,609
2020-03-06,535
2020-03-07,455
2020-03-08,595
2020-03-09,566
2020-03-10,539
2020-03-11,491
2020-03-12,794
2020-03-13,475
2020-03-14,355
2020-03-15,373
2020-03-16,434
2020-03-17,339
2020-03-18,333
2020-03-19,302
2020-03-20,227
2020-03-21,232
2020-03-22,219
2020-03-23,240
2020-03-24,221
2020-03-25,210
2020-03-26,206
2020-03-27,193
2020-03-28,193
2020-03-29,205
2020-03-30,240
2020-03-31,224
2020-04-01,197
2020-04-02,214
2020-04-03,225
2020-04-04,178
2020-04-05,209
2020-04-06,240
2020-04-07,201
2020-04-08,205
2020-04-09,212
2020-04-10,200
2020-04-11,217
2020-04-12,203
2020-04-13,206
2020-04-14,252
2020-04-15,240
2020-04-16,239
2020-04-17,250
2020-04-18,211
2020-04-19,237
2020-04-20,236
2020-04-21,214
2020-04-22,232
2020-04-23,221
2020-04-24,178
2020-04-25,211
2020-04-26,223
2020-04-27,246
2020-04-28,248
2020-04-29,224
2020-04-30,222
2020-05-01,206
2020-05-02,187
2020-05-03,221
2020-05-04,259
2020-05-05,218
