Date,Travelers
2003M01,12697
2003M02,12948
2003M03,18537
2003M04,20465
2003M05,20373
2003M06,34513
2003M07,52607
2003M08,58763
2003M09,29058
2003M10,22532
2003M11,15136
2003M12,11139
2004M01,13265
2004M02,15424
2004M03,18742
2004M04,24448
2004M05,25746
2004M06,38164
2004M07,64275
2004M08,64534
2004M09,30900
2004M10,25338
2004M11,15960
2004M12,11737
2005M01,14014
2005M02,15161
2005M03,18823
2005M04,21706
2005M05,27435
2005M06,40956
2005M07,65192
2005M08,65495
2005M09,34619
2005M10,27039
2005M11,15810
2005M12,14937
2006M01,15377
2006M02,14899
2006M03,17882
2006M04,25308
2006M05,31075
2006M06,44591
2006M07,66872
2006M08,69587
2006M09,39628
2006M10,32077
2006M11,21560
2006M12,20045
2007M01,18810
2007M02,17647
2007M03,23700
2007M04,27664
2007M05,34256
2007M06,55727
2007M07,80761
2007M08,81271
2007M09,39065
2007M10,34175
2007M11,23109
2007M12,22814
2008M01,20289
2008M02,20312
2008M03,25619
2008M04,26085
2008M05,36024
2008M06,55978
2008M07,81267
2008M08,83967
2008M09,43907
2008M10,32826
2008M11,24376
2008M12,22022
2009M01,19985
2009M02,18276
2009M03,23697
2009M04,27785
2009M05,34637
2009M06,54489
2009M07,82220
2009M08,92021
2009M09,42463
2009M10,30371
2009M11,21077
2009M12,17515
2010M01,18782
2010M02,20293
2010M03,26399
2010M04,23087
2010M05,28298
2010M06,54391
2010M07,83465
2010M08,89558
2010M09,40863
2010M10,34069
2010M11,21240
2010M12,18807
2011M01,22262
2011M02,22849
2011M03,26624
2011M04,32333
2011M05,37212
2011M06,65606
2011M07,97757
2011M08,101841
2011M09,51576
2011M10,38836
2011M11,22969
2011M12,20959
2012M01,26152
2012M02,27909
2012M03,33597
2012M04,37675
2012M05,45227
2012M06,74325
2012M07,112121
2012M08,115279
2012M09,64672
2012M10,44994
2012M11,36950
2012M12,28020
2013M01,33290
2013M02,39979
2013M03,48868
2013M04,45765
2013M05,53648
2013M06,89859
2013M07,123521
2013M08,131832
2013M09,73189
2013M10,52926
2013M11,46451
2013M12,41688
2014M01,46650
2014M02,52449
2014M03,66133
2014M04,59225
2014M05,66713
2014M06,110602
2014M07,144581
2014M08,153457
2014M09,88289
2014M10,66516
2014M11,60850
2014M12,53716
2015M01,62759
2015M02,70478
2015M03,83855
2015M04,71608
2015M05,91023
2015M06,137314
2015M07,180679
2015M08,189430
2015M09,123040
2015M10,99286
2015M11,81609
2015M12,70857
2016M01,77559
2016M02,100742
2016M03,115808
2016M04,94875
2016M05,124249
2016M06,186538
2016M07,236016
2016M08,241559
2016M09,175335
2016M10,158542
2016M11,131723
2016M12,124780
2017M01,135999
2017M02,148343
2017M03,167806
2017M04,153568
2017M05,145980
2017M06,221845
2017M07,271920
2017M08,284124
2017M09,203886
2017M10,181919
2017M11,144641
2017M12,135240
2018M01,147569
2018M02,160078
2018M03,173061
2018M04,147551
2018M05,165240
2018M06,233874
2018M07,278613
2018M08,291344
2018M09,231681
2018M10,199626
2018M11,150058
2018M12,137230
2019M01,139055
2019M02,149004
2019M03,170177
2019M04,120306
2019M05,126309
2019M06,194912
2019M07,231281
2019M08,251887
2019M09,183654
2019M10,163093
2019M11,131054
2019M12,125421
2020M01,120918
2020M02,133001
2020M03,79873
2020M04,924
2020M05,1035
2020M06,5943
2020M07,45614
2020M08,63762
2020M09,10126
2020M10,5923
2020M11,3256
2020M12,8135
2021M01,4362
2021M02,2997
,
"Talning frá Ferðamálastofu. Farþegar sem fara í gegnum öryggisleit á Keflavíkurflugvelli, þ.m.t. erlendir ríkisborgarar sem búsettir eru á Íslandi, erlent vinnuafl sem fer frá landinu og farþegar sem fara í gegnum öryggisleit við millilendingu. Tölurnar ber að skoða með þessa skekkjuvalda í huga.",
Mánuður:,
2005M04:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2005M05:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2005M12:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2006M12:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M01:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M02:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M03:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M04:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M05:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M06:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M07:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M08:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M09:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M10:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M11:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2007M12:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2008M12:,
4.maí 2018 voru gögn fyrir þennan mánuð leiðrétt,
,
Mánuður:,
2019M10:,
25.02.2020 - Leiðrétt skv. leiðréttingu Ferðamálastofu,
,
Mánuður:,
2019M11:,
25.02.2020 - Leiðrétt skv. leiðréttingu Ferðamálastofu,
,
,
Síðast uppfært:,
20210319 09:00,
,
Heimild:,
Ferðamálastofa,
,
Contact:,
upplysingar@hagstofa.is,
,
,
Eining:,
Fjöldi,
,
,
Viðmiðunartími:,
2002-2021,
,
,
,
,
,
,
,
Töflukóði:,
SAM02001,
