date,value
2016-06-26,99
2016-07-03,85
2016-07-10,58
2016-07-17,62
2016-07-24,72
2016-07-31,64
2016-08-07,50
2016-08-14,55
2016-08-21,50
2016-08-28,56
2016-09-04,62
2016-09-11,44
2016-09-18,58
2016-09-25,57
2016-10-02,64
2016-10-09,52
2016-10-16,50
2016-10-23,47
2016-10-30,49
2016-11-06,51
2016-11-13,53
2016-11-20,53
2016-11-27,43
2016-12-04,39
2016-12-11,55
2016-12-18,51
2016-12-25,67
2017-01-01,82
2017-01-08,79
2017-01-15,82
2017-01-22,68
2017-01-29,65
2017-02-05,54
2017-02-12,66
2017-02-19,65
2017-02-26,59
2017-03-05,69
2017-03-12,51
2017-03-19,48
2017-03-26,63
2017-04-02,50
2017-04-09,55
2017-04-16,64
2017-04-23,51
2017-04-30,52
2017-05-07,52
2017-05-14,56
2017-05-21,50
2017-05-28,67
2017-06-04,60
2017-06-11,64
2017-06-18,65
2017-06-25,66
2017-07-02,58
2017-07-09,57
2017-07-16,62
2017-07-23,70
2017-07-30,66
2017-08-06,62
2017-08-13,61
2017-08-20,76
2017-08-27,67
2017-09-03,65
2017-09-10,60
2017-09-17,64
2017-09-24,63
2017-10-01,60
2017-10-08,67
2017-10-15,63
2017-10-22,65
2017-10-29,62
2017-11-05,56
2017-11-12,53
2017-11-19,61
2017-11-26,57
2017-12-03,48
2017-12-10,47
2017-12-17,51
2017-12-24,64
2017-12-31,68
2018-01-07,89
2018-01-14,68
2018-01-21,71
2018-01-28,64
2018-02-04,56
2018-02-11,66
2018-02-18,66
2018-02-25,62
2018-03-04,63
2018-03-11,48
2018-03-18,65
2018-03-25,65
2018-04-01,65
2018-04-08,45
2018-04-15,47
2018-04-22,56
2018-04-29,49
2018-05-06,47
2018-05-13,58
2018-05-20,56
2018-05-27,73
2018-06-03,65
2018-06-10,100
2018-06-17,95
2018-06-24,92
2018-07-01,59
2018-07-08,59
2018-07-15,74
2018-07-22,69
2018-07-29,70
2018-08-05,63
2018-08-12,56
2018-08-19,57
2018-08-26,65
2018-09-02,53
2018-09-09,53
2018-09-16,65
2018-09-23,57
2018-09-30,64
2018-10-07,52
2018-10-14,55
2018-10-21,52
2018-10-28,53
2018-11-04,53
2018-11-11,56
2018-11-18,47
2018-11-25,57
2018-12-02,46
2018-12-09,43
2018-12-16,50
2018-12-23,54
2018-12-30,67
2019-01-06,67
2019-01-13,69
2019-01-20,53
2019-01-27,51
2019-02-03,47
2019-02-10,43
2019-02-17,46
2019-02-24,51
2019-03-03,48
2019-03-10,62
2019-03-17,50
2019-03-24,89
2019-03-31,46
2019-04-07,52
2019-04-14,48
2019-04-21,40
2019-04-28,45
2019-05-05,45
2019-05-12,46
2019-05-19,47
2019-05-26,48
2019-06-02,50
2019-06-09,46
2019-06-16,47
2019-06-23,41
2019-06-30,51
2019-07-07,55
2019-07-14,46
2019-07-21,49
2019-07-28,51
2019-08-04,47
2019-08-11,47
2019-08-18,51
2019-08-25,47
2019-09-01,44
2019-09-08,47
2019-09-15,50
2019-09-22,42
2019-09-29,41
2019-10-06,57
2019-10-13,50
2019-10-20,48
2019-10-27,49
2019-11-03,46
2019-11-10,48
2019-11-17,43
2019-11-24,46
2019-12-01,42
2019-12-08,47
2019-12-15,44
2019-12-22,45
2019-12-29,49
2020-01-05,61
2020-01-12,50
2020-01-19,63
2020-01-26,48
2020-02-02,44
2020-02-09,46
2020-02-16,56
2020-02-23,41
2020-03-01,44
2020-03-08,70
2020-03-15,38
2020-03-22,20
2020-03-29,15
2020-04-05,15
2020-04-12,21
2020-04-19,14
2020-04-26,16
2020-05-03,17
2020-05-10,19
2020-05-17,24
2020-05-24,18
2020-05-31,21
2020-06-07,29
2020-06-14,25
2020-06-21,25
2020-06-28,27
2020-07-05,28
2020-07-12,31
2020-07-19,32
2020-07-26,28
2020-08-02,22
2020-08-09,25
2020-08-16,20
2020-08-23,20
2020-08-30,17
2020-09-06,19
2020-09-13,16
2020-09-20,16
2020-09-27,15
2020-10-04,13
2020-10-11,12
2020-10-18,16
2020-10-25,11
2020-11-01,10
2020-11-08,10
2020-11-15,17
2020-11-22,14
2020-11-29,13
2020-12-06,15
2020-12-13,19
2020-12-20,12
2020-12-27,17
2021-01-03,13
2021-01-10,18
2021-01-17,12
2021-01-24,16
2021-01-31,12
2021-02-07,12
2021-02-14,13
2021-02-21,12
2021-02-28,13
2021-03-07,16
2021-03-14,22
2021-03-21,21
2021-03-28,22
2021-04-04,21
2021-04-11,19
2021-04-18,20
2021-04-25,22
2021-05-02,24
2021-05-09,24
2021-05-16,29
2021-05-23,32
2021-05-30,38
2021-06-06,36
2021-06-13,35
2021-06-20,43
